Тикер,Стратегия,TF,AllowShort,Период начало,Период окончание,"Доходность, %","Макс. просадка, %",Sharpe,Sortino,"Волатильность, %",Дней
SBER,Equity_OBV_Signal_14 (1D)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,242.56,30.21,0.59,0.6,20.11,3173.0
SBER,Equity_OBV_Signal_14 (1h)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,461.62,57.48,0.6,0.81,31.08,3173.0
SBER,Equity_OBV_Signal_14 (1h)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,486.19,47.89,0.74,0.98,22.46,3173.0
SBER,Equity_VWAP_Signal_yearly_100_5 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,1356.71,48.51,0.91,1.48,27.47,3173.0
SBER,Equity_VWAP_Signal_yearly_100_5 (1D)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,772.34,27.29,0.96,1.13,19.98,3173.0
SBER,Equity_VWAP_Signal_rolling_100_5 (1h)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,1582.61,32.46,0.91,1.47,29.1,3173.0
SBER,Equity_VWAP_Signal_rolling_100_5 (1h)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,877.32,33.95,0.98,1.26,20.57,3173.0
SBER,Equity_Engulfing (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,17.61,75.81,0.2,0.25,31.46,3173.0
SBER,Equity_HammerDoji (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-61.22,84.91,-0.05,-0.05,33.83,3173.0
SBER,Equity_Harami (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,429.64,76.49,0.52,0.79,39.64,3173.0
SBER,Equity_CandleEnsemble_win5_v2 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,29.24,69.57,0.23,0.28,32.95,3173.0
