begin,open,close,high,low,value,volume,end
2015-01-16,12.54,12.43,12.68,12.31,109118070.0,8734600,2015-01-16 23:59:59
2015-01-19,12.77,12.48,12.77,12.26,96184730.0,7672200,2015-01-19 23:59:59
2015-01-20,12.82,12.5,12.82,12.26,79233098.0,6353500,2015-01-20 23:59:59
2015-01-21,12.59,12.63,12.77,12.43,133634084.0,10612400,2015-01-21 23:59:59
2015-01-22,12.7,13.6,14.6,12.63,779181584.0,56718600,2015-01-22 23:59:59
2015-01-23,13.8,13.62,13.99,13.5,367675246.0,26825100,2015-01-23 23:59:59
2015-01-26,13.5,12.9,13.58,12.81,180553886.0,13836000,2015-01-26 23:59:59
2015-01-27,12.3,12.72,13.4,11.95,297699138.0,23127200,2015-01-27 23:59:59
2015-01-28,12.85,12.4,13.16,12.2,254390094.0,19919600,2015-01-28 23:59:59
2015-01-29,12.5,12.74,12.89,12.22,251281822.0,19974400,2015-01-29 23:59:59
2015-01-30,12.87,13.33,13.43,12.54,303831543.0,23638600,2015-01-30 23:59:59
2015-02-02,13.59,14.05,14.26,13.21,447904897.0,32286300,2015-02-02 23:59:59
2015-02-03,14.24,15.4,15.97,14.1,882981890.0,58529800,2015-02-03 23:59:59
2015-02-04,15.65,16.75,16.87,15.1,835609621.0,51580100,2015-02-04 23:59:59
2015-02-05,16.7,16.2,17.04,15.75,872394680.0,53542400,2015-02-05 23:59:59
2015-02-06,16.4,16.5,16.85,16.24,439679913.0,26629800,2015-02-06 23:59:59
2015-02-09,16.62,17.6,18.87,16.3,1296436069.0,73765700,2015-02-09 23:59:59
2015-02-10,17.69,17.84,18.2,17.31,631961330.0,35542900,2015-02-10 23:59:59
2015-02-11,17.93,17.85,18.39,17.21,665795783.0,37292900,2015-02-11 23:59:59
2015-02-12,17.69,18.38,18.41,17.51,647665714.0,35793100,2015-02-12 23:59:59
2015-02-13,18.5,18.85,19.18,18.43,469201397.0,25005500,2015-02-13 23:59:59
2015-02-16,19.0,20.05,20.24,18.91,752677042.0,38490400,2015-02-16 23:59:59
2015-02-17,20.59,19.1,21.24,18.81,1195753911.0,60090500,2015-02-17 23:59:59
2015-02-18,19.0,18.82,19.3,18.21,444210207.0,23611600,2015-02-18 23:59:59
2015-02-19,18.7,18.17,18.8,17.55,485204821.0,26988400,2015-02-19 23:59:59
2015-02-20,18.3,18.28,18.82,17.71,249800077.0,13724900,2015-02-20 23:59:59
2015-02-24,17.5,17.32,18.15,16.92,379767784.0,21569100,2015-02-24 23:59:59
2015-02-25,17.34,17.71,17.81,17.26,273248459.0,15528000,2015-02-25 23:59:59
2015-02-26,17.89,18.03,18.33,17.81,377342925.0,20865300,2015-02-26 23:59:59
2015-02-27,18.01,18.32,18.32,17.73,241013795.0,13329400,2015-02-27 23:59:59
2015-03-02,18.3,18.12,18.45,18.06,211689951.0,11598500,2015-03-02 23:59:59
2015-03-03,18.11,18.0,18.15,17.51,248276954.0,13770900,2015-03-03 23:59:59
2015-03-04,18.0,17.6,18.18,17.51,199272371.0,11156400,2015-03-04 23:59:59
2015-03-05,17.63,17.41,17.88,17.27,204447052.0,11604400,2015-03-05 23:59:59
2015-03-06,17.18,16.9,17.4,16.7,236077049.0,13899000,2015-03-06 23:59:59
2015-03-10,16.71,15.7,16.79,15.55,442025512.0,27578100,2015-03-10 23:59:59
2015-03-11,15.89,15.06,15.89,14.95,396274629.0,25976100,2015-03-11 23:59:59
2015-03-12,15.1,15.31,15.9,14.92,429749241.0,28107600,2015-03-12 23:59:59
2015-03-13,15.4,14.83,15.48,14.55,231859333.0,15556100,2015-03-13 23:59:59
