begin,open,close,high,low,value,volume,end
2019-03-27,1079.2,1061.8,1084.6,1060.4,395388028,369670,2019-03-27 23:59:59
2019-03-28,1062.4,1059.2,1065,1055,344199722,325160,2019-03-28 23:59:59
2019-03-29,1065.4,1078.2,1078.2,1055.2,778194180,728700,2019-03-29 23:59:59
2019-04-01,1076.6,1063,1078.8,1061,501644234,469580,2019-04-01 23:59:59
2019-04-02,1067,1061.8,1071,1060,357040020,334870,2019-04-02 23:59:59
2019-04-03,1069,1068,1077,1065.8,379033046,353960,2019-04-03 23:59:59
2019-04-04,1067,1060,1070.4,1057.4,383238596,360530,2019-04-04 23:59:59
2019-04-05,1064.4,1065.8,1068.6,1056,325462274,306520,2019-04-05 23:59:59
2019-04-08,1065.6,1076,1079.6,1061.4,328168450,307020,2019-04-08 23:59:59
2019-04-09,1075.8,1084,1087,1067.6,510396888,472790,2019-04-09 23:59:59
2019-04-10,1084,1084,1098.4,1083.2,931204332,853880,2019-04-10 23:59:59
2019-04-11,1089,1082,1091.2,1071.4,488894166,452470,2019-04-11 23:59:59
2019-04-12,1080,1097,1098.6,1075.4,645222440,590190,2019-04-12 23:59:59
2019-04-15,1099.8,1082.2,1109.4,1077.8,725994108,661720,2019-04-15 23:59:59
2019-04-16,1084.2,1103.4,1108.2,1084.2,503665900,458310,2019-04-16 23:59:59
2019-04-17,1104.8,1107,1117,1099.2,546948376,491890,2019-04-17 23:59:59
2019-04-18,1104,1110.2,1115.4,1093,316696092,286560,2019-04-18 23:59:59
2019-04-19,1112,1116.4,1123.8,1112,242790064,217170,2019-04-19 23:59:59
2019-04-22,1118.2,1145,1145.8,1118.2,528398692,465970,2019-04-22 23:59:59
2019-04-23,1149,1146,1158.8,1133.6,890974620,779730,2019-04-23 23:59:59
2019-04-24,1149.8,1148,1149.8,1137.4,621704254,543370,2019-04-24 23:59:59
2019-04-25,1145,1187,1212,1137.4,1768865082,1489790,2019-04-25 23:59:59
2019-04-26,1187.2,1218.4,1219.6,1184.2,1466399316,1212680,2019-04-26 23:59:59
2019-04-29,1219,1205.2,1231.8,1191.2,1061964164,876370,2019-04-29 23:59:59
2019-04-30,1199.8,1205.2,1210.2,1190.4,748533442,624760,2019-04-30 23:59:59
2019-05-02,1205,1207.2,1208,1193.4,1080197454,898530,2019-05-02 23:59:59
2019-05-03,1200.2,1199.8,1202.4,1187.4,1357763942,1136270,2019-05-03 23:59:59
2019-05-06,1195,1199.8,1199.8,1185.8,522918316,439110,2019-05-06 20:30:00
2019-05-07,1195,1205.8,1219.4,1191.6,1575774228,1305390,2019-05-07 23:59:59
2019-05-08,1195,1203,1205.6,1193.6,1120267532,935000,2019-05-08 23:59:59
2019-05-10,1196.4,1200,1208.8,1192.4,496649274,413450,2019-05-10 23:59:59
2019-05-13,1197.2,1210,1216.6,1197.2,1419986786,1172600,2019-05-13 23:59:59
2019-05-14,1210,1190,1219.8,1187.2,1048225778,873550,2019-05-14 23:59:59
2019-05-15,1197.4,1186,1197.4,1174.4,707751726,598350,2019-05-15 23:59:59
2019-05-16,1179,1204.6,1220,1176,1220587332,1024770,2019-05-16 23:59:59
2019-05-17,1212,1198.6,1217.4,1192.8,909290450,756670,2019-05-17 23:59:59
2019-05-20,1198,1220.2,1308.2,1194,1236082614,1015750,2019-05-20 23:59:59
2019-05-21,1226,1245,1257.4,1224.4,1433652434,1152580,2019-05-21 23:59:59
2019-05-22,1252.6,1297,1308.4,1242,2349528762,1827540,2019-05-22 23:59:59
2019-05-23,1290,1302,1303,1271.2,1914399148,1483210,2019-05-23 23:59:59
2019-05-24,1304.4,1291.4,1304.4,1282.6,1264139274,978150,2019-05-24 23:59:59
2019-05-27,1291.4,1317.2,1320,1289.2,631744068,481560,2019-05-27 23:59:59
2019-05-28,1313.2,1306,1324.2,1293.2,1386881940,1055050,2019-05-28 20:30:10
2019-05-29,1306.6,1307.4,1320,1295.2,968032026,740060,2019-05-29 23:59:59
2019-05-30,1315.6,1308,1319,1276.4,1025177092,791300,2019-05-30 23:59:59
2019-05-31,1307.8,1323,1332.4,1297,966803588,736730,2019-05-31 23:59:59
2019-06-03,1323,1321,1357.8,1305,995577994,746820,2019-06-03 23:59:59
2019-06-04,1320,1296,1337,1285.2,1530765294,1173140,2019-06-04 23:59:59
2019-06-05,1297.6,1279,1301.6,1271,797097828,620670,2019-06-05 23:59:59
2019-06-06,1277.8,1293,1297.8,1275.2,749872236,580940,2019-06-06 23:59:59
2019-06-07,1303.6,1295.2,1303.6,1286.6,860944244,664440,2019-06-07 23:59:59
2019-06-10,1299,1298.4,1312.8,1293,553671476,424690,2019-06-10 23:59:59
2019-06-11,1298,1320,1335,1292.4,779884052,591330,2019-06-11 23:59:59
2019-06-13,1315,1308,1322.4,1298.8,784356456,599290,2019-06-13 23:59:59
2019-06-14,1310,1305.4,1336,1302,776080884,591990,2019-06-14 23:59:59
2019-06-17,1305,1307,1315,1301.4,1378920944,1054190,2019-06-17 23:59:59
2019-06-18,1305.8,1309.8,1313.4,1292.2,956367608,734290,2019-06-18 23:59:59
2019-06-19,1308.4,1275.4,1319,1274.2,1217889788,943830,2019-06-19 23:59:59
2019-06-20,1280.4,1309.8,1318.8,1280,2094953988,1607100,2019-06-20 23:59:59
2019-06-21,1312,1320,1321,1297.4,1852139726,1410890,2019-06-21 23:59:59
