ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,harami,1D,DiffEvolution,167,7.942,0.1876056981343058,1.5256033310382875,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,168,7.942,0.0629464203152855,1.733111833317697,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,169,2.446,0.1397472708426627,2.567233862618422,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,170,7.942,0.0666921503917227,1.8250817344420056,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,171,7.942,0.0443755125618437,3.3248953372240067,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,172,2.446,0.0398045251132201,1.9928573203434412,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,173,7.942,0.0857694075320704,1.5994904987298637,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,174,7.942,0.0963733788438336,3.388082556561855,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,175,7.942,0.189491326675969,1.85496937606574,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,176,7.942,0.0441224421916432,2.292554524983401,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,177,7.942,0.0597476724348962,2.887726684656789,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,178,7.942,0.1016531192214512,1.7252348177890569,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,179,7.942,0.1111880289681358,2.305135829756994,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,180,7.942,0.0562846685281062,2.1971374841053546,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,181,7.942,0.1464282227707393,3.292866399511695,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
