ticker,strategy_type,timeframe,method,trial_number,composite_score,param_ensemble_window,param_min_votes,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,candle_ensemble,1D,DiffEvolution,948,-0.445,8,4,0.0606659952774414,3.2320375466518767,True,-227.84,0.449,3.643,229.98,2,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,949,0.163,5,4,0.0741241594637468,1.7407609293302495,True,45.77,0.304,0.401,85.52,4,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,950,-0.03,5,3,0.0743487946742746,1.9951735900363308,True,-83.42,0.035,0.049,96.27,12,41.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,951,0.992,8,3,0.0469579657769429,2.38996684596758,False,88.7,0.385,0.367,34.44,7,85.71,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,952,1.956,10,3,0.0801609084451017,2.8240264618855138,True,249.42,0.513,0.607,65.42,46,67.39,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,953,1.45,8,4,0.0469579657769429,2.38996684596758,False,204.64,0.523,0.443,73.81,2,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,954,-0.445,6,4,0.0704687299269078,2.7569315187621974,True,-227.84,0.449,3.643,229.98,2,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,955,1.033,5,3,0.0489555538671311,2.6994227276676015,False,160.29,0.469,0.387,72.78,3,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,956,1.162,7,4,0.1018525174386578,2.018833370293373,False,178.0,0.482,0.4,73.81,2,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,957,-0.417,8,4,0.0806925675978066,3.409917644052525,True,-213.83,0.448,3.655,229.98,2,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,958,0.136,8,3,0.0713668627331536,3.150638962985893,True,38.81,0.267,0.347,76.34,23,69.57,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,959,0.806,6,3,0.0676271986320792,2.597093803931365,True,170.63,0.418,0.625,88.49,13,61.54,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,960,1.304,6,3,0.053622618052892,2.548721628997409,True,251.97,0.458,0.687,88.49,8,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,961,0.043,7,2,0.0583138813722171,2.4809653583729916,True,15.76,0.221,0.256,81.24,110,53.64,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,962,0.09,8,3,0.0690757561438225,3.215629462724779,True,27.97,0.246,0.313,76.34,23,69.57,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,963,0.025,6,3,0.1224277302073606,2.4524230985590076,True,-57.97,-0.035,-0.048,82.31,30,46.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,964,2.56,6,3,0.0503202478230032,2.3505277095189543,True,434.75,0.521,0.785,88.49,10,80.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,965,2.242,9,3,0.1265242491755179,1.5257953248078164,False,251.92,0.561,0.506,63.05,56,67.86,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,966,-0.087,10,3,0.051173570230777,3.1814679370341152,True,-32.22,0.263,0.316,97.06,26,69.23,,,,,,,,,
