code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1
ROSN,2017,3,Q,РСБУ,1000,RUB,148.253,103.847,3.5796,,0.7878,,,3439108701616.5,10598177817,324.5
ROSN,2017,6,6M,МСФО,1000000000,RUB,325.055,265.045,60.2933,,7.6428,12.0775,,3476202323976,10598177817,328
ROSN,2017,6,6M,РСБУ,1000,RUB,157.846,202.896,20.4448,,13.8072,,,3476202323976,10598177817,328
ROSN,2017,6,Q,МСФО,1000000000,RUB,325.055,132.003,28.8728,,6.4162,3.6798,,3476202323976,10598177817,328
ROSN,2017,6,Q,РСБУ,1000,RUB,157.846,99.049,16.8652,,13.0194,,,3476202323976,10598177817,328
ROSN,2017,9,9M,РСБУ,1000,RUB,152.695,308.034,20.5365,,9.6562,,,3400425352584.45,10598177817,320.85
ROSN,2017,9,Q,РСБУ,1000,RUB,152.695,105.138,0.0917,,-4.151,,,3400425352584.45,10598177817,320.85
ROSN,2017,12,6M,МСФО,1000000,RUB,341.474,302.128,72.0877,,13.3042,11.0397,,3071881840257.45,10598177817,289.85
ROSN,2017,12,6M,РСБУ,1000,RUB,158.931,259.253,21.1513,,-0.6947,,,3071881840257.45,10598177817,289.85
ROSN,2017,12,Q,РСБУ,1000,RUB,158.931,154.115,21.0596,,3.4563,,,3071881840257.45,10598177817,289.85
ROSN,2017,12,Y,МСФО,1000000,RUB,341.474,567.173,132.381,,20.947,23.1172,,3071881840257.45,10598177817,289.85
ROSN,2017,12,Y,РСБУ,1000,RUB,158.931,462.149,41.5961,,13.1125,-65.2947,,3071881840257.45,10598177817,289.85
ROSN,2018,3,Q,МСФО,1000000,RUB,349.966,162.481,36.327,,7.6428,13.3985,,3343195192372.65,10598177817,315.45
ROSN,2018,3,Q,РСБУ,1000,RUB,165.559,134.845,8.9163,,4.8466,,,3343195192372.65,10598177817,315.45
ROSN,2018,6,6M,МСФО,1000000,RUB,364.591,357.326,89.6381,,28.118,34.2512,,4173032515443.75,10598177817,393.75
ROSN,2018,6,6M,РСБУ,1000,RUB,193.196,319.071,47.3149,,36.3861,,,4173032515443.75,10598177817,393.75
ROSN,2018,6,Q,МСФО,1000000,RUB,364.591,194.845,53.3111,,20.4752,20.8526,,4173032515443.75,10598177817,393.75
ROSN,2018,6,Q,РСБУ,1000,RUB,193.196,184.226,38.3986,,31.5395,,,4173032515443.75,10598177817,393.75
ROSN,2018,9,9M,МСФО,1000000,RUB,366.101,573.023,150.309,,41.5166,82.2783,,5174030410259.399,10598177817,488.2
ROSN,2018,9,9M,РСБУ,1000,RUB,191.212,492.57,64.2412,,46.2348,,,5174030410259.399,10598177817,488.2
ROSN,2018,9,Q,МСФО,1000000,RUB,366.101,215.697,60.6708,,13.3985,48.0271,,5174030410259.399,10598177817,488.2
ROSN,2018,9,Q,РСБУ,1000,RUB,191.212,173.499,16.9263,,9.8487,,,5174030410259.399,10598177817,488.2
ROSN,2018,12,6M,МСФО,1000000,RUB,382.424,419.977,106.717,,23.6834,72.6538,,4535490196785.149,10598177817,427.95
ROSN,2018,12,6M,РСБУ,1000,RUB,191.209,338.424,31.0707,,7.0916,,,4535490196785.149,10598177817,427.95
ROSN,2018,12,Q,МСФО,1000000,RUB,382.424,204.28,46.046,,10.2848,24.6267,,4535490196785.149,10598177817,427.95
ROSN,2018,12,Q,РСБУ,1000,RUB,191.209,164.925,14.1444,,-2.7571,,,4535490196785.149,10598177817,427.95
ROSN,2018,12,Y,МСФО,1000000,RUB,382.424,777.303,196.355,,51.8014,106.905,,4535490196785.149,10598177817,427.95
ROSN,2018,12,Y,РСБУ,1000,RUB,191.209,657.495,78.3856,,43.4777,-1.6109,,4535490196785.149,10598177817,427.95
ROSN,2019,3,Q,МСФО,1000000,RUB,393.37,195.977,51.707,,12.3606,18.5881,,4342073451624.9,10598177817,409.7
ROSN,2019,3,Q,РСБУ,1000,RUB,203.558,160.649,14.4223,,9.6016,,,4342073451624.9,10598177817,409.7
ROSN,2019,6,6M,МСФО,1000000,RUB,402.333,397.427,100.3,,30.6656,31.3261,,4385525980674.6,10598177817,413.8
ROSN,2019,6,6M,РСБУ,1000,RUB,200.96,320.491,25.9731,,15.5863,,,4385525980674.6,10598177817,413.8
ROSN,2019,6,Q,МСФО,1000000,RUB,402.333,201.45,48.5933,,18.305,12.738,,4385525980674.6,10598177817,413.8
ROSN,2019,6,Q,РСБУ,1000,RUB,200.96,159.842,11.5508,,5.9847,,,4385525980674.6,10598177817,413.8
ROSN,2019,9,9M,МСФО,1000000,RUB,410.637,608.784,152.573,,51.8957,57.8401,,4458653407611.899,10598177817,420.7
ROSN,2019,9,9M,РСБУ,1000,RUB,188.974,475.045,32.1928,,15.7326,,,4458653407611.899,10598177817,420.7
ROSN,2019,9,Q,МСФО,1000000,RUB,410.637,211.357,52.2731,,21.2301,26.514,,4458653407611.899,10598177817,420.7
ROSN,2019,9,Q,РСБУ,1000,RUB,188.974,154.554,6.2197,,0.1463,,,4458653407611.899,10598177817,420.7
ROSN,2019,12,6M,МСФО,1000000000,RUB,425.921,421.203,98.319,,35.8551,57.4626,,4775538924340.2,10598177817,450.6
ROSN,2019,12,6M,РСБУ,1000,RUB,213.411,323.726,46.2195,,21.8283,,,4775538924340.2,10598177817,450.6
ROSN,2019,12,Q,МСФО,1000000000,RUB,425.921,209.846,46.046,,14.625,30.9486,,4775538924340.2,10598177817,450.6
ROSN,2019,12,Q,РСБУ,1000,RUB,213.411,169.172,39.9998,,21.682,,,4775538924340.2,10598177817,450.6
ROSN,2019,12,Y,МСФО,1000000000,RUB,425.921,818.63,198.619,,66.5207,88.7887,,4775538924340.2,10598177817,450.6
ROSN,2019,12,Y,РСБУ,1000,RUB,213.411,644.217,72.1926,,37.4146,-74.5248,,4775538924340.2,10598177817,450.6
ROSN,2020,3,Q,МСФО,1000000,RUB,424.224,165.878,29.156,,-14.7195,20.6639,,3325708198974.6,10598177817,313.8
ROSN,2020,3,Q,РСБУ,1000,RUB,213.202,134.649,1.8214,,-0.1734,,,3325708198974.6,10598177817,313.8
ROSN,2020,6,6M,МСФО,1000000000,RUB,371.101,263.913,45.1964,,-10.6622,19.4373,,3845018912007.6,10598177817,362.8
ROSN,2020,6,6M,РСБУ,1000,RUB,197.297,215.042,6.4394,,2.0275,,,3845018912007.6,10598177817,362.8
ROSN,2020,6,Q,МСФО,1000000000,RUB,371.101,98.0355,16.0405,,4.0573,-1.2266,,3845018912007.6,10598177817,362.8
ROSN,2020,6,Q,РСБУ,1000,RUB,197.297,80.393,4.618,,2.2009,,,3845018912007.6,10598177817,362.8
ROSN,2020,9,9M,МСФО,1000000000,RUB,373.743,399.69,79.7305,,-16.7009,30.6656,,4084537730671.8,10598177817,385.4
ROSN,2020,9,9M,РСБУ,1000,RUB,215.338,344.68,26.3396,,20.1044,,,4084537730671.8,10598177817,385.4
ROSN,2020,9,Q,МСФО,1000000000,RUB,373.743,135.778,34.5342,,-6.0388,11.2283,,4084537730671.8,10598177817,385.4
ROSN,2020,9,Q,РСБУ,1000,RUB,215.338,129.638,19.9002,,18.0769,,,4084537730671.8,10598177817,385.4
ROSN,2020,12,6M,МСФО,1000000000,RUB,442.622,279.292,68.8796,,23.1171,20.6638,,4619745710430.3,10598177817,435.9
ROSN,2020,12,6M,РСБУ,1000,RUB,209.905,241.177,32.5936,,12.6742,,,4619745710430.3,10598177817,435.9
ROSN,2020,12,Q,МСФО,1000000000,RUB,442.622,143.515,34.3455,,29.1558,9.4355,,4619745710430.3,10598177817,435.9
ROSN,2020,12,Q,РСБУ,1000,RUB,209.905,111.539,0.1718,,-5.4027,,,4619745710430.3,10598177817,435.9
ROSN,2020,12,Y,МСФО,1000000000,RUB,442.622,543.205,114.076,,12.4549,40.1011,,4619745710430.3,10598177817,435.9
ROSN,2020,12,Y,РСБУ,1000,RUB,209.905,456.219,39.033,,14.7017,-69.151,,4619745710430.3,10598177817,435.9
ROSN,2021,3,Q,МСФО,1000000,RUB,533.96,163.896,41.9884,,14.059,17.9276,,6048380080161.9,10598177817,570.7
ROSN,2021,3,Q,РСБУ,1000,RUB,219.073,139.161,14.5534,,9.1647,,,6048380080161.9,10598177817,570.7
ROSN,2021,6,6M,МСФО,1000000000,RUB,471.59,368.364,95.8653,,36.0439,47.6496,,6007047186675.6,10598177817,566.8
ROSN,2021,6,6M,РСБУ,1000,RUB,221.467,309.134,29.0492,,18.4957,,,6007047186675.6,10598177817,566.8
ROSN,2021,6,Q,МСФО,1000000000,RUB,471.59,204.468,53.8769,,21.9849,29.722,,6007047186675.6,10598177817,566.8
ROSN,2021,6,Q,РСБУ,1000,RUB,221.467,169.973,14.4958,,9.331,,,6007047186675.6,10598177817,566.8
ROSN,2021,9,9M,МСФО,1000000000,RUB,502.821,587.269,156.064,,65.6715,83.033,,6535366350853.05,10598177817,616.65
ROSN,2021,9,9M,РСБУ,1000,RUB,235.645,518.602,66.8025,,50.7004,,,6535366350853.05,10598177817,616.65
ROSN,2021,9,Q,МСФО,1000000000,RUB,502.821,218.905,60.1989,,29.6277,35.3834,,6535366350853.05,10598177817,616.65
ROSN,2021,9,Q,РСБУ,1000,RUB,235.645,209.468,37.7533,,32.2047,,,6535366350853.05,10598177817,616.65
ROSN,2021,12,6M,МСФО,1000000000,RUB,521.975,458.286,123.984,,47.2721,50.8577,,6335590699002.6,10598177817,597.8
ROSN,2021,12,6M,РСБУ,1000,RUB,241.844,407.388,60.2971,,38.3943,,,6335590699002.6,10598177817,597.8
ROSN,2021,12,Q,МСФО,1000000000,RUB,521.975,239.381,63.785,,17.6445,15.4743,,6335590699002.6,10598177817,597.8
ROSN,2021,12,Q,РСБУ,1000,RUB,241.844,197.92,22.5438,,6.1896,,,6335590699002.6,10598177817,597.8
ROSN,2021,12,Y,МСФО,1000000000,RUB,521.975,826.65,219.849,,83.316,98.5073,,6335590699002.6,10598177817,597.8
ROSN,2021,12,Y,РСБУ,1000,RUB,241.844,716.522,89.3463,,56.89,-50.8501,,6335590699002.6,10598177817,597.8
ROSN,2023,6,6M,МСФО,1000000000,RUB,698.799,364.78,122.946,132,61.52,36.327,41,5111501161139.101,10598177817,482.3
ROSN,2023,6,6M,РСБУ,1000,RUB,265.155,322.531,47.1601,,24.3184,,,5111501161139.101,10598177817,482.3
ROSN,2023,9,9M,МСФО,1000000000,RUB,803.157,623.881,208.526,227,101.527,97.847,,5680093401021.15,10598177817,535.95
ROSN,2023,9,9M,РСБУ,1000,RUB,283.689,545.604,79.6854,,4.2898,,,5680093401021.15,10598177817,535.95
ROSN,2023,9,Q,МСФО,1000000000,RUB,803.157,259.101,85.58,95,40.007,61.52,,5680093401021.15,10598177817,535.95
ROSN,2023,9,Q,РСБУ,1000,RUB,283.689,223.073,32.5253,,-20.0286,,,5680093401021.15,10598177817,535.95
ROSN,2023,12,6M,МСФО,1000000000,RUB,793.91,499.803,134.268,152,58.029,102.187,94,6277830629899.95,10598177817,592.35
ROSN,2023,12,6M,РСБУ,1000,RUB,272.696,470.554,60.5949,,38.2991,,,6277830629899.95,10598177817,592.35
ROSN,2023,12,Q,МСФО,1000000000,RUB,793.91,240.702,48.688,57,18.022,40.667,,6277830629899.95,10598177817,592.35
ROSN,2023,12,Q,РСБУ,1000,RUB,272.696,247.481,28.0696,,58.3277,,,6277830629899.95,10598177817,592.35
ROSN,2023,12,Y,МСФО,1000000000,RUB,793.91,864.583,257.214,284,119.549,138.514,135,6277830629899.95,10598177817,592.35
ROSN,2023,12,Y,РСБУ,1000,RUB,272.696,793.085,107.755,,62.6175,,,6277830629899.95,10598177817,592.35
ROSN,2024,3,Q,МСФО,1000000000,RUB,844.674,244.759,77.2774,81,37.648,16.5123,,5998038735531.15,10598177817,565.95
ROSN,2024,3,Q,РСБУ,1000,RUB,276.469,208.201,14.5992,,3.7728,,,5998038735531.15,10598177817,565.95
ROSN,2024,6,6M,МСФО,1000000000,RUB,846.372,488.197,152.479,156,72.9371,36.8931,66,5956175933154,10598177817,562
ROSN,2024,6,6M,РСБУ,1000,RUB,254.857,423.428,33.7952,,11.1704,,,5956175933154,10598177817,562
ROSN,2024,6,Q,МСФО,1000000000,RUB,846.372,243.438,75.2016,75,35.2891,20.3808,,5956175933154,10598177817,562
ROSN,2024,6,Q,РСБУ,1000,RUB,254.857,215.227,19.196,,7.3976,,,5956175933154,10598177817,562
ROSN,2024,9,9M,МСФО,1000000000,RUB,870.527,721.35,201.45,219,87.3735,67.7475,101,5413549228923.601,10598177817,510.8
ROSN,2024,9,9M,РСБУ,1000,RUB,279.418,662.41,68.4975,,36.7041,,,5413549228923.601,10598177817,510.8
ROSN,2024,9,Q,МСФО,1000000000,RUB,870.527,233.153,48.971,63,14.4364,30.8544,35,5413549228923.601,10598177817,510.8
ROSN,2024,9,Q,РСБУ,1000,RUB,279.418,238.982,34.7023,,25.5337,,,5413549228923.601,10598177817,510.8
ROSN,2024,12,6M,МСФО,1000000000,RUB,864.016,468.477,106.15,130,29.3449,59.6329,56,6376923592488.9,10598177817,601.7
ROSN,2024,12,6M,РСБУ,1000,RUB,250.474,458.326,66.4068,,39.981,,,6376923592488.9,10598177817,601.7
ROSN,2024,12,Q,МСФО,1000000000,RUB,864.016,235.324,57.179,67,14.9085,28.7785,21,6376923592488.9,10598177817,601.7
ROSN,2024,12,Q,РСБУ,1000,RUB,250.474,219.344,31.7045,,14.4473,,,6376923592488.9,10598177817,601.7
ROSN,2024,12,Y,МСФО,1000000000,RUB,864.016,956.674,258.629,286,102.282,96.526,122,6376923592488.9,10598177817,601.7
ROSN,2024,12,Y,РСБУ,1000,RUB,250.474,881.754,100.202,,51.1514,,,6376923592488.9,10598177817,601.7
ROSN,2025,3,Q,МСФО,1000000000,RUB,861.941,215.414,57.274,56,16.0405,-1.60405,,5204765125928.7,10598177817,491.1
ROSN,2025,6,6M,МСФО,1000000000,RUB,853.26,402.239,96.7147,99,23.1172,13.8703,16,4662138421698.3,10598177817,439.9
ROSN,2025,6,6M,РСБУ,1000,RUB,245.001,376.686,35.2989,,5.25234,,,4662138421698.3,10598177817,439.9
ROSN,2025,6,Q,МСФО,1000000000,RUB,853.26,186.825,39.4407,43,7.0767,15.4743,,4662138421698.3,10598177817,439.9
ROSN,2025,9,9M,МСФО,1000000000,RUB,867.696,593.31,131.815,155,26.1366,-105.49,56,4358500627241.25,10598177817,411.25
ROSN,2025,9,9M,РСБУ,1000,RUB,254.23,568.046,59.798,,12.5044,,,4358500627241.25,10598177817,411.25
ROSN,2025,9,Q,МСФО,1000000000,RUB,867.696,191.071,35.1003,56,3.0194,-119.36,40,4358500627241.25,10598177817,411.25
ROSN,2025,9,Q,РСБУ,1000,RUB,254.23,191.36,24.4991,,7.25206,,,4358500627241.25,10598177817,411.25
ROSN,2025,12,6M,МСФО,1000000000,RUB,856.562,374.876,71.9933,106,4.5291,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,6M,РСБУ,1000,RUB,246.081,348.076,41.8485,,8.66416,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,Q,МСФО,1000000000,RUB,856.562,183.805,36.893,50,1.5097,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,Q,РСБУ,1000,RUB,246.081,156.716,17.3494,,1.4121,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,Y,МСФО,1000000000,RUB,856.562,777.115,168.708,205,27.6463,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,Y,РСБУ,1000,RUB,246.081,724.762,77.1474,,13.9165,,,4332535091589.6,10598177817,408.8
ROSN,2025,12,YTM,МСФО,1000000000,RUB,856.562,777.115,168.708,205,27.6463,,,4535490196785.149,10598177817,427.95
ROSN,2025,12,YTM,РСБУ,1000,RUB,246.081,724.762,77.1474,,13.9165,,,4535490196785.149,10598177817,427.95
