code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
GAZP,2018,12,Y,МСФО,1000000,RUB,1617384,647993,-1617718,,,1639474,-96070,,,,,-22090,488000,,,,
GAZP,2018,12,Y,РСБУ,1000,RUB,895097941,678653603,-1006127792,,,76020518,-42053399,,,,,819077423,,,,,
GAZP,2019,3,Q,МСФО,1000000,RUB,684920,172652,-667573,,,441190,236525,,,,,243730,213000,,,,
GAZP,2019,6,6M,МСФО,1000000,RUB,1256653,347875,-958604,,,788381,71326,,,,,468272,,,,,
GAZP,2019,6,Q,МСФО,1000000,RUB,571733,175223,-291031,,,347191,-165199,,,,,224542,,,,,
GAZP,2019,9,9M,МСФО,1000000,RUB,1622514,525044,-1380479,,,1224735,-66130,,,,,397779,,,,,
GAZP,2019,9,Q,МСФО,1000000,RUB,365861,177169,-421875,,,436354,-137456,,,,,-70493,,,,,
GAZP,2019,12,6M,МСФО,1000,RUB,452731000,367354000,-979505000,,,987542000,81049000,,,,,-534811000,,,,,
GAZP,2019,12,Q,МСФО,1000,RUB,86870000,190185000,-557630000,,,551188000,218505000,,,,,-464318000,,,,,
GAZP,2019,12,Y,МСФО,1000,RUB,1709384000,715229000,-1938109000,,,1775923000,152375000,,,,,-66539000,600,,,,
GAZP,2019,12,Y,РСБУ,1000,RUB,618632855,660902955,-510765321,,,171301007,-121635221,,,,,447331848,,,,,
GAZP,2020,3,Q,МСФО,1000000,RUB,590101,199564,-493007,,,419458,-113117,,,,,170643,,,,,
GAZP,2020,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,6,6M,МСФО,1000000,RUB,759651,396891,-858971,,,720196,86404,,,,,39455,,,,,
GAZP,2020,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
