code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
ROSN,2017,9,Q,РСБУ,1000,RUB,-55387254,,44993629,,1114277514,829509929,284767585,247744617,27275462,971779,,971779,-54415475,,-43993258,-43993258,,
ROSN,2017,12,6M,МСФО,1000000,RUB,-62000,,51000,,3202000,470000,2732000,98000,363000,638000,764000,337000,275000,,196000,141000,,
ROSN,2017,12,6M,РСБУ,1000,RUB,-115461856,,88124355,,2747607598,1796834347,950773251,528911683,412114062,224164399,,82659982,-32801874,,-7362394,-7362394,,
ROSN,2017,12,Q,РСБУ,1000,RUB,-60074602,,43130726,,1633330084,967324418,666005666,281167066,384838600,223192620,,81688203,21613601,,36630864,36630864,,
ROSN,2017,12,Y,МСФО,1000000,RUB,-118000,,107000,,6011000,837000,5174000,172000,621000,1099000,1403000,513000,395000,,297000,222000,,
ROSN,2017,12,Y,РСБУ,1000,RUB,-216231051,,179953353,,4897934388,3478736818,1419197570,1059240491,359957079,440842346,,299337929,83106878,,138968980,138968980,,
ROSN,2018,3,Q,МСФО,1000000,RUB,-30000,,30000,,1722000,,,35000,200000,307000,385000,155000,125000,,95000,81000,,
ROSN,2018,3,Q,РСБУ,1000,RUB,-66256566,,42892073,,1429109011,1040001001,389108010,326608582,62499428,94496963,,94496963,28240397,,51365121,51365121,,
ROSN,2018,6,6M,МСФО,1000000,RUB,-77000,,59000,,3787000,517000,3270000,78000,573000,822000,950000,513000,436000,,340000,298000,,
ROSN,2018,6,6M,РСБУ,1000,RUB,-135048077,,88177818,,3381571533,2233730912,1147840621,675377325,472463296,501451479,,501451479,366403402,,385625872,385625872,,
ROSN,2018,6,Q,МСФО,1000000,RUB,-47000,,29000,,2065000,,,43000,373000,515000,565000,358000,311000,,245000,217000,,
ROSN,2018,6,Q,РСБУ,1000,RUB,-68791511,,45285745,,1952462522,1193729911,758732611,348768743,409963868,406954516,,406954516,338163005,,334260751,334260751,,
ROSN,2018,9,9M,МСФО,1000000,RUB,-128000,,89000,,6073000,816000,5257000,113000,995000,1269000,1593000,797000,669000,,517000,440000,,
ROSN,2018,9,9M,РСБУ,1000,RUB,-200292830,,137152674,,5220340450,3535542482,1684797968,1072820278,611977690,680839875,,680839875,480547045,,490005085,490005085,,
ROSN,2018,9,Q,МСФО,1000000,RUB,-51000,,30000,,2286000,,,35000,422000,447000,643000,284000,233000,,177000,142000,,
ROSN,2018,9,Q,РСБУ,1000,RUB,-65244753,,48974856,,1838768917,1301811570,536957347,397442953,139514394,179388396,,179388396,114143643,,104379213,104379213,,
ROSN,2018,12,6M,МСФО,1000000,RUB,-91000,,63000,,4451000,598000,3853000,727000,711000,813000,1131000,487000,396000,,309000,251000,,
ROSN,2018,12,6M,РСБУ,1000,RUB,-130030509,,98595384,,3586676511,2605559096,981117415,827882628,153234787,329293139,,197465195,67434686,,75158137,75158137,,
ROSN,2018,12,Q,МСФО,1000000,RUB,-40000,,33000,,2165000,299000,1866000,692000,289000,366000,488000,203000,163000,,132000,109000,,
ROSN,2018,12,Q,РСБУ,1000,RUB,-64785756,,49620528,,1747907594,1303747526,444160068,430439675,13720393,149904743,,18076799,-46708957,,-29221076,-29221076,,
ROSN,2018,12,Y,МСФО,1000000,RUB,-168000,,122000,,8238000,1115000,7123000,805000,1284000,1635000,2081000,1000000,832000,,649000,549000,,
ROSN,2018,12,Y,РСБУ,1000,RUB,-265078586,,186773202,,6968248044,4839290008,2128958036,1503259953,625698083,830744618,,698916674,433838088,,460784009,460784009,,
ROSN,2019,3,Q,МСФО,1000000,RUB,-24000,,40000,,2077000,316000,1761000,235000,341000,391000,548000,217000,193000,,156000,131000,,
ROSN,2019,3,Q,РСБУ,1000,RUB,-65392386,,50189171,,1702582090,1188775936,513806154,300774166,213031988,152850074,,152850074,87457688,,101759533,101759533,,
ROSN,2019,6,6M,МСФО,1000000,RUB,-43000,,77000,,4212000,746000,3466000,435000,662000,840000,1063000,502000,459000,,376000,325000,,
ROSN,2019,6,6M,РСБУ,1000,RUB,-135084363,,94046238,,3396619228,2392508109,1004111119,622267696,381843423,275267379,,275267379,140183016,,165186445,165186445,,
ROSN,2019,6,Q,МСФО,1000000,RUB,-19000,,37000,,2135000,,1705000,200000,321000,449000,515000,285000,266000,,220000,194000,,
ROSN,2019,6,Q,РСБУ,1000,RUB,-69691977,,43857067,,1694037138,1203732173,490304965,321493530,168811435,122417305,,122417305,52725328,,63426912,63426912,,
ROSN,2019,9,9M,МСФО,1000000,RUB,-63000,,113000,,6452000,1122000,5330000,674000,1018000,1332000,1617000,822000,759000,,626000,550000,,
ROSN,2019,9,9M,РСБУ,1000,RUB,-204220079,,136204855,,5034609890,3590993488,1443616402,958959196,484657206,341185494,,341185494,136965415,,166736387,166736387,,
ROSN,2019,9,Q,МСФО,1000000,RUB,-20000,,36000,,2240000,,1864000,239000,356000,492000,554000,320000,300000,,250000,225000,,
ROSN,2019,9,Q,РСБУ,1000,RUB,-69135716,,42158617,,1637990662,1198485379,439505283,336691500,102813783,65918115,,65918115,-3217601,,1549942,1549942,,
ROSN,2019,12,6M,МСФО,1000000000,RUB,-41,,66,,4464,820,3644,498,643,925,1042,576,535,,426,380,,
ROSN,2019,12,6M,РСБУ,1000,RUB,-133130648,,82797922,,3430907179,2396273781,1034633398,657850643,376782755,489842927,,340489276,207358628,,231339764,231339764,,
ROSN,2019,12,Q,МСФО,1000000000,RUB,-21,,30,,2224,444,1780,259,287,433,488,256,235,,176,155,,
ROSN,2019,12,Q,РСБУ,1000,RUB,-63994932,,40639305,,1792916517,1197788402,595128115,321159143,273968972,423924812,,274571161,210576229,,229789822,229789822,,
ROSN,2019,12,Y,МСФО,1000000000,RUB,-84,,143,,8676,1566,7110,933,1305,1765,2105,1078,994,,802,705,,
ROSN,2019,12,Y,РСБУ,1000,RUB,-268215011,,176844160,,6827526407,4788781890,2038744517,1280118339,758626178,765110306,,615756655,347541644,,396526209,396526209,,
ROSN,2020,3,Q,МСФО,1000000,RUB,-56000,,24000,,1758000,273000,1485000,244000,101000,56000,309000,-120000,-176000,,-143000,-156000,,
ROSN,2020,3,Q,РСБУ,1000,RUB,-57689794,,38568662,,1427032351,1107611745,319420606,278412719,41107887,19303348,,19303348,-38386446,,-1838057,-1838057,,
ROSN,2020,6,6M,МСФО,1000000000,RUB,-58,,47,,2797,363,2434,416,69,281,479,-60,-118,,-98,-113,,
ROSN,2020,6,6M,РСБУ,1000,RUB,-109456001,,75340970,,2279058677,1803932466,475126211,458845001,16281210,68245906,,68245906,-41210095,,21488154,21488154,,
ROSN,2020,6,Q,МСФО,1000000000,RUB,-2,,23,,1039,,949,172,-32,225,170,60,58,,45,43,,
ROSN,2020,6,Q,РСБУ,1000,RUB,-51766207,,36772308,,852026326,696320721,155705605,180432282,-24826677,48942558,,48942558,-2823649,,23326211,23326211,,
ROSN,2020,9,9M,МСФО,1000000000,RUB,-89,,71,,4236,518,3718,590,228,414,845,-87,-176,,-148,-177,,
ROSN,2020,9,9M,РСБУ,1000,RUB,-159470251,,112588853,,3652978793,2693598542,959380251,651977140,307303111,279151242,,279151242,119680991,,213069586,213069586,,
ROSN,2020,9,Q,МСФО,1000000000,RUB,-31,,24,,1439,,1284,174,159,133,366,-27,-58,,-50,-64,,
ROSN,2020,9,Q,РСБУ,1000,RUB,-50014250,,37247883,,1373920116,889666076,484254040,193132139,291021901,210905336,,210905336,160891086,,191581432,191581432,,
ROSN,2020,12,6M,МСФО,1000000000,RUB,-67,,48,,2960,328,2632,372,309,654,730,332,265,,264,245,,
ROSN,2020,12,6M,РСБУ,1000,RUB,-101961229,,73416708,,2556032428,1844966354,711066074,405003417,306062657,345433216,,212725950,110764721,,134323012,134323012,,
ROSN,2020,12,Q,МСФО,1000000000,RUB,-36,,24,,1521,173,1348,198,150,521,364,359,323,,314,309,,
ROSN,2020,12,Q,РСБУ,1000,RUB,-51946979,,36168825,,1182112312,955300278,226812034,211871278,15040756,1820614,,1820614,-50126365,,-57258420,-57258420,,
ROSN,2020,12,Y,МСФО,1000000000,RUB,-125,,95,,5757,691,5066,788,378,935,1209,272,147,,166,132,,
ROSN,2020,12,Y,РСБУ,1000,RUB,-211417230,,148757678,,4835091105,3648898820,1186192285,863848418,322343867,413679122,,280971856,69554626,,155811166,155811166,,
ROSN,2021,3,Q,МСФО,1000000,RUB,-30000,,28000,,1737000,291000,1446000,191000,243000,393000,445000,238000,208000,,168000,149000,,
