code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
NVTK,2018,12,6M,МСФО,1000000,RUB,106339,16342,-60450,,,51280,-43223,,,,,55059,,,,,
NVTK,2018,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,12,Q,МСФО,1000000,RUB,55968,7831,-35122,,,31513,-36182,,,,,24455,,,,,
NVTK,2018,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,12,Y,МСФО,1000000,RUB,216349,33094,-153046,,,74436,-93658,,,,,141913,,,,,
NVTK,2018,12,Y,РСБУ,1000,RUB,77638420,194336,-23079860,,,619830,-65248108,,,11035390,76283498,77018590,,,,,
NVTK,2019,3,Q,МСФО,1000000,RUB,61603,7487,-10100,,,40077,-4989,,,,,21526,,,,,
NVTK,2019,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,6,6M,МСФО,1000000,RUB,172915,15494,-93037,,,66641,-63493,,,,,106274,,,,,
NVTK,2019,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,6,Q,МСФО,1000000,RUB,111312,8007,-82937,,,26564,-58504,,,,,84748,,,,,
NVTK,2019,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,9,9M,МСФО,1000000,RUB,227191,23677,-157142,,,99233,-67652,,,,,127958,,,,,
NVTK,2019,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,9,Q,МСФО,1000000,RUB,54276,8183,-64105,,,32592,-4159,,,,,21684,,,,,
NVTK,2019,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,12,6M,МСФО,1000000,RUB,134518,16736,-76007,,,78691,-55955,,,,,55827,,,,,
NVTK,2019,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,12,Q,МСФО,1000000,RUB,80242,8553,-11902,,,46099,-51796,,,,,34143,,,,,
NVTK,2019,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2019,12,Y,МСФО,1000000,RUB,307433,32230,-169044,,,145332,-119448,,,,,162101,,,,,
NVTK,2019,12,Y,РСБУ,1000,RUB,78600259,233710,14421492,,,138090,-92115589,,,34338300,126519289,78462169,,,,,
NVTK,2020,3,Q,МСФО,1000000,RUB,59025,8871,-12377,,,35747,-13572,,,,,23278,,,,,
NVTK,2020,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,6,6M,МСФО,1000000,RUB,63384,17846,-14331,,,90878,-73660,,,,,-27494,,,,,
NVTK,2020,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,6,Q,МСФО,1000000,RUB,4359,8975,-1954,,,55131,-60088,,,,,-50772,,,,,
NVTK,2020,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,9,9M,МСФО,1000000,RUB,112725,27579,-90903,,,124982,-70595,,,,,-12257,,,,,
NVTK,2020,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,9,Q,МСФО,1000000,RUB,49341,9733,-76572,,,34104,3065,,,,,15237,,,,,
NVTK,2020,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,12,6M,МСФО,1000000,RUB,108512,21392,-33541,,,91581,-4415,,,,,16931,,,,,
NVTK,2020,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,12,Q,МСФО,1000000,RUB,59171,11659,43031,,,57477,-7480,,,,,1694,,,,,
NVTK,2020,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2020,12,Y,МСФО,1000000,RUB,171896,39238,-47872,,,182459,-78075,,,,,-10563,,,,,
NVTK,2020,12,Y,РСБУ,1000,RUB,116021457,361544,-49833462,,,11095501,-45984572,,,59461007,105445579,104925956,,,,,
NVTK,2021,3,Q,МСФО,1000000,RUB,73272,12420,-49889,,,35752,-55283,,,,,37520,,,,,
NVTK,2021,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,6,6M,МСФО,1000000,RUB,224783,25432,-159729,,,79588,-136041,,,,,145195,,,,,
NVTK,2021,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,6,Q,МСФО,1000000,RUB,151511,13012,-109840,,,43836,-80758,,,,,107675,,,,,
NVTK,2021,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,9,9M,МСФО,1000000,RUB,318593,38764,-207707,,,123519,-143022,,,,,195074,,,,,
NVTK,2021,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,9,Q,МСФО,1000000,RUB,93810,13332,-47978,,,43931,-6981,,,,,49879,,,,,
NVTK,2021,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,12,6M,МСФО,1000000,RUB,194683,31167,-93406,,,92836,-101857,,,,,101847,,,,,
NVTK,2021,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,12,Q,МСФО,1000000,RUB,100873,17835,-45428,,,48905,-94876,,,,,51968,,,,,
NVTK,2021,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2021,12,Y,МСФО,1000000,RUB,419466,56599,-253135,171620,804,172424,-237898,174275,12963,24919,76184,247042,,,,,
NVTK,2021,12,Y,РСБУ,1000,RUB,-26784479,346719,191059050,,,887344,-177047245,,,30212146,207259391,-27671823,,,,,
NVTK,2022,12,Y,РСБУ,1000,RUB,-17280285,388496,344853073,,,,-244151476,,,75037465,,-17280285,,,,,
NVTK,2023,6,6M,МСФО,1000000,RUB,184236,35717,-81422,,,105481,-116067,,,,,78755,,,,,
NVTK,2023,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2023,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2023,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2023,12,6M,МСФО,1000000,RUB,249080,39609,-204332,,,118316,-72675,,,,,130764,,,,,
NVTK,2023,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2023,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2023,12,Y,МСФО,1000000,RUB,433316,75326,-285754,,,223797,-188742,,,,,209519,,,,,
NVTK,2023,12,Y,РСБУ,1000,RUB,-26963130,2172975,202903190,,,,-152387536,,,61105245,,-26963130,,,,,
NVTK,2024,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,6,6M,МСФО,1000000,RUB,182434,44212,-212388,,,122047,25335,,,,,60387,,,,,
NVTK,2024,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
