code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
NVTK,2020,6,6M,РСБУ,1000,RUB,1378097,,4498519,,216834166,120209789,96624377,62785167,25044623,121147201,,121147201,122525298,,108634660,108634660,,
NVTK,2020,6,Q,МСФО,1000000,RUB,4643,,5885,,143939,,,4326,13623,39059,71270,30084,34727,,42896,41564,,
NVTK,2020,6,Q,РСБУ,1000,RUB,617364,,2198900,,86483109,49471397,37011712,28949887,3030445,-22852283,,-22852283,-22234919,,-16925974,-16925974,,
NVTK,2020,9,9M,МСФО,1000000,RUB,14400,,18084,,492272,,,18414,56967,89155,265821,61576,75976,,31517,24056,,
NVTK,2020,9,9M,РСБУ,1000,RUB,2079249,,6884384,,333246920,185421241,147825679,92104341,43386355,356240737,,356240737,358319986,,327647179,327647179,,
NVTK,2020,9,Q,МСФО,1000000,RUB,5204,,6443,,163771,,,8424,38553,44765,93883,35032,40236,,16233,13172,,
NVTK,2020,9,Q,РСБУ,1000,RUB,701152,,2385865,,116412754,65211452,51201302,29319174,18341732,235093536,,235093536,235794688,,219012519,219012519,,
NVTK,2020,12,6M,МСФО,1000000,RUB,11305,,13799,,383311,,,16805,94598,103943,220070,82551,93856,,63302,56948,,
NVTK,2020,12,6M,РСБУ,1000,RUB,1477386,,4994482,,269709807,150282737,119427070,67132715,40701280,284834656,,284473112,285950498,,267945619,267945619,,
NVTK,2020,12,Q,МСФО,1000000,RUB,6101,,7356,,219540,,,8381,56045,59178,126187,47519,53620,,47069,43776,,
NVTK,2020,12,Q,РСБУ,1000,RUB,776234,,2608617,,153297053,85071285,68225768,37813541,22359548,49379576,,49379576,50155810,,48933100,48933100,,
NVTK,2020,12,Y,МСФО,1000000,RUB,20501,,25440,,711812,,,26795,113012,148333,392008,109095,129596,,78586,67832,,
NVTK,2020,12,Y,РСБУ,1000,RUB,2855483,,9493001,,486543973,270492526,216051447,129917882,65745903,405981857,,405620313,408475796,,376580279,376580279,,
NVTK,2021,3,Q,МСФО,1000000,RUB,2651,,3816,,244583,,,6034,65142,91366,143836,78946,81597,,69672,65152,,
NVTK,2021,3,Q,РСБУ,1000,RUB,1065428,,2490901,,167218100,100736904,66481196,38031826,26948466,28949299,,28949299,30014727,,25664264,25664264,,
NVTK,2021,6,6M,МСФО,1000000,RUB,5641,,8013,,509035,,,13664,134616,214578,307066,189146,194787,,173797,164439,,
NVTK,2021,6,6M,РСБУ,1000,RUB,2657903,,5183882,,330696446,195142685,135553761,70015554,60849357,158019275,,158019275,160677178,,152463998,152463998,,
NVTK,2021,6,Q,МСФО,1000000,RUB,2990,,4197,,264452,,,7630,69474,123212,163230,110200,113190,,104125,99287,,
NVTK,2021,6,Q,РСБУ,1000,RUB,1592475,,2692981,,163478346,94405781,69072565,31983728,33900891,129069976,,129069976,130662451,,126799734,126799734,,
NVTK,2021,9,9M,МСФО,1000000,RUB,8603,,12079,,785742,,,22136,205912,355479,488866,316715,325318,,291387,277345,,
NVTK,2021,9,9M,РСБУ,1000,RUB,4030263,,7648567,,510951691,299113170,211838521,100587920,98481682,210163785,,210163785,214194048,,199572328,199572328,,
NVTK,2021,9,Q,МСФО,1000000,RUB,2962,,4066,,276707,,,8472,71296,140901,181800,127569,130531,,117590,112906,,
NVTK,2021,9,Q,РСБУ,1000,RUB,1372360,,2464685,,180255245,103970485,76284760,30572366,37632325,52144510,,52144510,53516870,,47108330,47108330,,
NVTK,2021,12,6M,МСФО,1000000,RUB,1895,,7987,,647689,,,20586,144430,335689,441271,304522,306417,,277824,268488,,
