code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
LKOH,2021,9,Q,РСБУ,1000,RUB,-4758125,,6424199,,623933300,430047544,193885756,26300578,159098117,157750998,,157750998,152992873,,140701242,140701242,,
LKOH,2021,12,6M,МСФО,1000000,RUB,-7274,,11654,,5356776,3241316,2115460,114789,544951,750507,,545269,537995,,427150,426265,,
LKOH,2021,12,6M,РСБУ,1000,RUB,-8345720,,15081955,,1478953034,876623167,602329867,55269731,528985175,535542612,,534614978,526269258,,490143736,490143736,,
LKOH,2021,12,Q,МСФО,1000000,RUB,-2669,,7013,,2768031,1667146,1100885,59323,297178,396331,,298496,295827,,234031,233790,,
LKOH,2021,12,Q,РСБУ,1000,RUB,-3587595,,8657756,,855019734,446575623,408444111,28969153,369887058,376863980,,376863980,373276385,,349442494,349442494,,
LKOH,2021,12,Y,МСФО,1000000,RUB,-21049,,16519,,9435143,5484824,3950319,215190,978945,1413479,,988013,966964,,775513,773442,,
LKOH,2021,12,Y,РСБУ,1000,RUB,-16556394,,25351359,,2389317290,1545436896,843880394,101269569,708678659,695668623,,694740989,678184595,,635708387,635708387,,
LKOH,2022,3,Q,РСБУ,1000,RUB,-1627827,,9950472,,723219554,531972930,191246624,27845373,154051173,163004034,,163004034,161376207,,133381296,133381296,,
LKOH,2022,6,6M,РСБУ,1000,RUB,7362113,,20651902,,1743652060,1007197965,736454095,56356642,661860464,552055829,,552055829,559417942,,520528132,520528132,,
LKOH,2022,6,Q,РСБУ,1000,RUB,8989940,,10701430,,1020432506,475225035,545207471,28511269,507809291,389051795,,389051795,398041735,,387146836,387146836,,
LKOH,2022,9,9M,РСБУ,1000,RUB,20254752,,34947233,,2334540000,1425290871,909249129,85013951,798015045,692066982,,692066982,712321734,,647927331,647927331,,
LKOH,2022,9,Q,РСБУ,1000,RUB,12892639,,14295331,,590887940,418092906,172795034,28657309,136154581,140011153,,140011153,152903792,,127399199,127399199,,
LKOH,2022,12,6M,РСБУ,1000,RUB,28689428,,30778067,,1130385304,797832306,332552998,60983709,274206765,300271635,,296785700,325475128,,269591945,269591945,,
LKOH,2022,12,Q,РСБУ,1000,RUB,15796789,,16482736,,539497364,379739400,159757964,32326400,138052184,160260482,,156774547,172571336,,142192746,142192746,,
LKOH,2022,12,Y,РСБУ,1000,RUB,36051541,,51429969,,2874037364,1805030271,1069007093,117340351,936067229,852327464,,848841529,884893070,,790120077,790120077,,
LKOH,2023,3,Q,РСБУ,1000,RUB,8351205,,9922900,,455830504,309636160,146194344,26304389,110778425,120265989,,120265989,128617194,,104287205,104287205,,
LKOH,2023,6,6M,МСФО,1000000,RUB,11885,,28694,,3606535,1379187,2227348,113174,611801,950586,,691850,703735,,565441,564081,,
LKOH,2023,6,6M,РСБУ,1000,RUB,18514215,,21401562,,1248779074,705758265,543020809,56438383,467250065,497984443,,497984443,516498658,,463505712,463505712,,
LKOH,2023,6,Q,МСФО,1000000,RUB,7815,,15211,,1925537,774973,1150564,54978,316049,365300,,365300,373115,,302638,302492,580916,580693
LKOH,2023,6,Q,РСБУ,1000,RUB,10163010,,11478662,,792948570,396122105,396826465,30133994,356471640,377718454,,377718454,387881464,,359218507,359218507,,
LKOH,2023,9,9M,РСБУ,1000,RUB,29438191,,33769028,,2062741173,1309270801,753470372,85673219,638557533,687034079,,687034079,716472270,,638575075,638575075,,
LKOH,2023,9,Q,РСБУ,1000,RUB,10923976,,12367466,,813962099,603512536,210449563,29234836,171307468,189049636,,189049636,199973612,,175069363,175069363,,
LKOH,2023,12,6M,МСФО,1000000,RUB,30804,,50832,,4321768,1487553,2834215,174039,815896,992442,,673811,704615,,594830,590583,,
LKOH,2023,12,6M,РСБУ,1000,RUB,31213473,,34328965,,1504695929,1189420094,315275835,57834963,216500946,194229072,,190503922,221717395,,191783744,191783744,,
LKOH,2023,12,Q,РСБУ,1000,RUB,20289497,,21961499,,690733830,585907558,104826272,28600127,45193478,5179436,,1454286,21743783,,16714381,16714381,,
LKOH,2023,12,Y,МСФО,1000000,RUB,42689,,79526,,7928303,2866740,5061563,287213,1427697,1943028,,1365661,1408350,,1160271,1154664,,
LKOH,2023,12,Y,РСБУ,1000,RUB,49727688,,55730527,,2753475003,1895178359,858296644,114273346,683751011,692213515,,688488365,738216053,,655289456,655289456,,
LKOH,2024,3,Q,РСБУ,1000,RUB,18142744,,19952930,,664829462,526713431,138116031,25660980,93109402,90237669,,90237669,108380413,,89884539,89884539,,
LKOH,2024,6,6M,МСФО,1000000,RUB,40904,,60402,,4333568,1594146,2739422,154968,694187,963810,,673203,714107,,591542,590234,,
LKOH,2024,6,6M,РСБУ,1000,RUB,33844290,,37239484,,1470436875,1031648490,438788385,49632946,353747610,340933901,,340933901,374778191,,345829291,345829291,,
LKOH,2024,6,Q,МСФО,1000000,RUB,22031,,30642,,2273030,843465,1429565,75001,361769,,318805,318805,340836,,279861,279623,60884,60659
LKOH,2024,6,Q,РСБУ,1000,RUB,15701546,,17286554,,805607413,504935059,300672354,23971966,260638208,250696232,,250696232,266397778,,255944752,255944752,,
LKOH,2024,9,9M,РСБУ,1000,RUB,53905823,,58507373,,2123405021,1597914478,525490543,76002189,397542478,398744840,,398744840,452650663,,410564734,410564734,,
LKOH,2024,9,Q,РСБУ,1000,RUB,20061533,,21267889,,652968146,566265988,86702158,26369243,43794868,57810939,,57810939,77872472,,64735443,64735443,,
LKOH,2024,12,6M,МСФО,1000000,RUB,37266,,43907,,86997,-1191530,1278527,105931,363293,657580,,354741,392007,,260004,258280,,
LKOH,2024,12,6M,РСБУ,1000,RUB,51626755,,54329034,,1576506824,1131241315,445265509,55838440,351535184,356330120,,352767363,404394118,,386686923,386686923,,
LKOH,2024,12,Q,РСБУ,1000,RUB,31565222,,33061145,,923538678,564975327,358563351,29469197,307740316,298519181,,294956424,326521646,,321951480,321951480,,
LKOH,2024,12,Y,МСФО,1000000,RUB,78170,,104309,,4420565,402616,4017949,260899,1057480,1621390,,1027944,1106114,794407,851546,848514,1237282,1234222
LKOH,2024,12,Y,РСБУ,1000,RUB,85471045,,91568518,,3046943699,2162889805,884053894,105471386,705282794,697264021,,693701264,779172309,,732516214,732516214,,
LKOH,2025,3,Q,РСБУ,1000,RUB,17161895,,18850630,,584052023,525444938,58607085,27590755,13242595,3769990,,3769990,20931885,,16319798,16319798,,
LKOH,2025,6,6M,МСФО,1000000,RUB,38842,,55938,,3601697,1204151,2397546,277876,344681,637552,,375993,414835,,288566,287023,-451229,-452524
LKOH,2025,6,6M,РСБУ,1000,RUB,26210023,,32653890,,1398538772,982117980,416420792,62352343,320689020,320525364,,320525364,346735387,,327736355,327736355,,
LKOH,2025,6,Q,РСБУ,1000,RUB,9048128,,13803260,,814486749,456673042,357813707,34761588,307446425,316755374,,316755374,325803502,,311416557,311416557,,
LKOH,2025,9,9M,РСБУ,1000,RUB,29974884,,44620901,,1951880385,1433234200,518646185,94018056,374351536,350431766,,350431766,380406650,380406650,352479104,352479104,352479104,352479104
LKOH,2025,9,Q,РСБУ,1000,RUB,3764861,,11967011,,553341613,451116220,102225393,31665713,53662516,29906402,,29906402,33671263,,24742749,24742749,,
LKOH,2025,12,6M,МСФО,1000000,RUB,-16759,,19669,,166071,-815513,981584,71108,181965,82396,,-178759,-195518,,-1348425,-1351292,-1789567,-1792969
LKOH,2025,12,6M,РСБУ,1000,RUB,19027067,,32038313,,2054685763,896163048,1158522715,65750079,1063455365,-69888542,,-73332960,-54305893,,75998416,,,
LKOH,2025,12,Q,РСБУ,1000,RUB,15262206,,20071302,,1501344150,445046828,1056297322,34084366,1009792849,-99794944,,-103239362,-87977156,,51255667,,51128158,
LKOH,2025,12,Y,МСФО,1000000,RUB,22083,,75607,,3767768,388638,3379130,348984,526646,719948,,197234,219317,96652,-1059859,-1064269,-2240796,-2245493
LKOH,2025,12,Y,РСБУ,1000,RUB,45237090,,64692203,,3453224535,1878281028,1574943507,128102422,1384144385,250636822,,247192404,292429494,,403734771,,403607262,
LKOH,2025,12,YTM,МСФО,1000000,RUB,22083,,75607,,3767768,388638,3379130,348984,526646,719948,,197234,219317,96652,-1059859,-1064269,-2240796,-2245493
LKOH,2025,12,YTM,РСБУ,1000,RUB,45237090,,64692203,,3453224535,1878281028,1574943507,128102422,1384144385,250636822,,247192404,292429494,,403734771,,403607262,
