code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
LKOH,2024,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,12,Y,МСФО,1000000,RUB,1788172,593446,-811907,,,779724,-854284,606999,99617,21100,139135,1008448,,246591,28998,276325,
LKOH,2024,12,Y,РСБУ,1000,RUB,3405522870,3562757,36975209,,209869,209869,-3551771049,599637744,,2512505798,5461758199,3405313001,,,,,
LKOH,2025,3,Q,РСБУ,1000,RUB,381855194,,932315,,281086,281086,-413757499,6068075,,74466981,481835899,381574108,,,,,
LKOH,2025,6,6M,МСФО,1000000,RUB,711568,261559,-439465,,,386630,-982060,295638,654279,863,29486,324938,,-938017,15624,,
LKOH,2025,6,6M,РСБУ,1000,RUB,1144320972,,-9207137,,362315,362315,-1263563980,334309325,,649269361,1577514537,1143958657,,,,,
LKOH,2025,6,Q,РСБУ,1000,RUB,762465778,,-10139452,,81229,81229,-849806481,328241250,,574802380,1095678638,762384549,,,,,
LKOH,2025,9,9M,РСБУ,1000,RUB,1728780561,,2891320,,,410988,-1702117551,343861423,,685839468,2042312457,1728369573,,29554330,,29853288,
LKOH,2025,9,Q,РСБУ,1000,RUB,584459589,,12098457,,,48673,-438553571,9552098,,36570107,464797920,584410916,,,,,
LKOH,2025,12,6M,МСФО,1000000,RUB,702955,261155,-633607,,,387920,-27975,11641,0,25936,25125,315035,,55568,17145,,
LKOH,2025,12,6M,РСБУ,1000,RUB,1118427472,,32127880,,,78250,-656010122,9937443,,263242072,907834864,1118349222,,,,,
LKOH,2025,12,Q,РСБУ,1000,RUB,533967883,,20029423,,,29577,-217456551,385345,,226671965,443036944,533938306,,336540755,,12682229,
LKOH,2025,12,Y,МСФО,1000000,RUB,1414523,522714,-1073072,,,774550,-1010035,307279,654279,26799,54611,639973,,-882449,32769,204357,
LKOH,2025,12,Y,РСБУ,1000,RUB,2262748444,3444418,22920743,,,440565,-1919574102,344246768,,912511433,2485349401,2262307879,,366095085,,42535517,
LKOH,2025,12,YTM,МСФО,1000000,RUB,1414523,522714,-1073072,,,774550,-1010035,307279,654279,26799,54611,639973,,-882449,32769,204357,
LKOH,2025,12,YTM,РСБУ,1000,RUB,2262748444,3444418,22920743,,,440565,-1919574102,344246768,,912511433,2485349401,2262307879,,366095085,,42535517,
